Iteration	M	a	b	e	h	
416	35300.0	0.1047	0.007949	4.907E-4	0.4473	
417	46570.0	0.1061	0.01166	4.396E-4	0.4729	
418	59970.0	0.1059	0.01111	5.509E-4	0.4035	
419	51980.0	0.1059	0.01062	5.718E-4	0.2441	
420	59930.0	0.1063	0.01357	5.118E-4	0.3552	
421	36700.0	0.1063	0.01384	4.673E-4	0.3241	
422	59730.0	0.1053	0.005333	5.029E-4	0.4057	
423	53190.0	0.1056	0.008754	5.365E-4	0.3048	
424	52760.0	0.1062	0.009419	5.389E-4	0.4171	
425	59330.0	0.1042	0.01298	4.213E-4	0.516	
426	58960.0	0.1083	0.01065	4.677E-4	0.4186	
427	39590.0	0.1066	0.006106	4.772E-4	0.3427	
428	59550.0	0.1063	0.005542	5.537E-4	0.2889	
429	59090.0	0.1053	0.008033	4.882E-4	0.3296	
430	44410.0	0.1047	0.01393	5.394E-4	0.3346	
431	6.0E+4	0.107	0.009616	5.737E-4	0.2438	
432	50380.0	0.1077	0.01011	4.966E-4	0.3974	
433	58220.0	0.1071	0.01159	6.413E-4	0.3399	
434	59950.0	0.1055	0.01357	6.28E-4	0.4825	
435	33690.0	0.1051	0.01192	5.44E-4	0.5744	
436	38780.0	0.1059	0.005854	3.805E-4	0.8554	
437	50180.0	0.1054	0.006466	3.967E-4	0.2877	
438	56520.0	0.1068	0.006338	3.882E-4	0.6265	
439	54670.0	0.1051	0.006597	4.382E-4	0.4701	
440	46300.0	0.1061	0.005894	4.194E-4	0.5775	
441	59640.0	0.1063	0.006595	4.518E-4	0.4583	
442	54710.0	0.1067	0.006549	4.754E-4	0.5578	
443	59960.0	0.106	0.006153	4.914E-4	0.5852	
444	6.0E+4	0.1082	0.006987	5.44E-4	0.297	
445	57320.0	0.1067	0.008127	4.643E-4	0.4534	
446	58030.0	0.1057	0.01007	4.814E-4	0.3453	
447	59460.0	0.106	0.009279	5.513E-4	0.3361	
448	59990.0	0.1059	0.01305	5.104E-4	0.2938	
449	47570.0	0.1078	0.01165	4.801E-4	0.5263	
450	57180.0	0.1034	0.009622	4.024E-4	0.436	
451	15460.0	0.1047	0.01212	4.686E-4	0.4407	
452	58260.0	0.1047	0.01032	4.594E-4	0.4638	
453	46600.0	0.1059	0.005069	4.472E-4	0.7909	
454	53950.0	0.1048	0.006299	4.806E-4	0.2988	
455	59590.0	0.1045	0.006977	5.283E-4	0.5602	
456	58610.0	0.1064	0.009805	4.567E-4	0.2931	
457	59310.0	0.1053	0.01152	4.66E-4	0.2827	
458	32760.0	0.106	0.009722	5.023E-4	0.417	
459	54480.0	0.1051	0.008758	4.506E-4	0.4286	
460	59830.0	0.1047	0.0114	5.272E-4	0.3527	
461	53250.0	0.104	0.01035	4.422E-4	0.4009	
462	47030.0	0.1054	0.007342	4.539E-4	0.4724	
463	44120.0	0.1059	0.006189	5.239E-4	0.3096	
464	58830.0	0.1048	0.006284	4.224E-4	0.4679	
465	55130.0	0.1064	0.005574	4.693E-4	0.5005	
466	51600.0	0.1058	0.005335	4.466E-4	0.5329	
